noun_w_buah	noun_w_orang	cossim
bagian	pemain	0.34
bagian	penduduk	0.28
bagian	pengguna	0.28
bagian	wisatawan	0.14
bagian	penelitian	0.29
bagian	pasangan	0.29
bagian	penulis	0.29
bagian	pemimpin	0.33
bagian	peserta	0.32
bagian	pengunjung	0.24
bagian	penderita	0.31
bagian	pembelajaran	0.24
bagian	pelayanan	0.27
bagian	kehilangan	0.37
bagian	keturunan	0.3
bagian	pemilik	0.32
bagian	penyanyi	0.23
bagian	karyawan	0.29
bagian	pelanggan	0.23
bagian	kelahiran	0.2
bagian	perdagangan	0.28
bagian	petani	0.21
bagian	pekerja	0.29
bagian	kepercayaan	0.25
bagian	pemuda	0.27
bagian	penumpang	0.24
bagian	pimpinan	0.35
bagian	pembaca	0.29
bagian	kekurangan	0.3
bagian	pejabat	0.29
bagian	campuran	0.35
bagian	pelaku	0.26
bagian	peneliti	0.25
bagian	pengusaha	0.22
bagian	pendukung	0.35
bagian	petunjuk	0.3
bagian	pemenang	0.25
bagian	petugas	0.28
bagian	perbaikan	0.37
bagian	pelatih	0.24
bagian	pedagang	0.21
bagian	pelajar	0.22
bagian	pengurus	0.24
bagian	jurusan	0.3
bagian	ilmuwan	0.23
bagian	pendiri	0.32
bagian	angkatan	0.27
bagian	sasaran	0.34
bagian	pembuat	0.31
bagian	penjual	0.22
bagian	pengganti	0.27
bagian	perwakilan	0.31
bagian	lulusan	0.2
bagian	pembeli	0.26
bagian	penerima	0.34
bagian	pergerakan	0.37
bagian	pemegang	0.4
bagian	penyedia	0.29
bagian	penjaga	0.31
bagian	pencari	0.21
bagian	pembawa	0.25
bagian	undangan	0.25
bagian	cadangan	0.3
bagian	pemeran	0.31
bagian	bangsawan	0.23
bagian	pembantu	0.3
bagian	pengarang	0.23
bagian	pengelola	0.29
bagian	pejuang	0.24
bagian	tahanan	0.26
bagian	pengikut	0.21
bagian	rombongan	0.23
bagian	pengajar	0.21
bagian	pendidik	0.21
bagian	penghuni	0.31
bagian	pengembang	0.25
bagian	jajaran	0.43
bagian	pembuka	0.42
bagian	penari	0.24
bagian	pemberi	0.3
bagian	pelayan	0.19
bagian	pendatang	0.16
bagian	pembunuh	0.19
bagian	penyelenggara	0.29
bagian	turunan	0.29
bagian	pelukis	0.16
bagian	utusan	0.19
bagian	pembiayaan	0.29
bagian	pengacara	0.2
bagian	perawat	0.2
bagian	penganut	0.24
bagian	pengamat	0.22
bagian	penghubung	0.4
bagian	pesaing	0.21
bagian	pengawas	0.29
bagian	penjahat	0.23
bagian	pelaksana	0.31
bagian	kebangsaan	0.31
bagian	pembicara	0.26
bagian	pengantar	0.33
bagian	pendengar	0.23
bagian	pendamping	0.23
bagian	pewaris	0.25
bagian	pengungsi	0.17
bagian	pengendara	0.26
bagian	pencuri	0.17
bagian	pemburu	0.16
bagian	pengawal	0.26
bagian	penemu	0.23
bagian	pengemudi	0.24
bagian	penerjemah	0.16
bagian	pemandu	0.19
bagian	tawanan	0.19
bagian	penegak	0.28
bagian	penutur	0.23
bagian	penyihir	0.14
bagian	pelamar	0.17
bagian	pemasok	0.31
bagian	penanda	0.39
bagian	pemikir	0.27
bagian	saingan	0.23
bagian	pembimbing	0.22
bagian	petinggi	0.29
bagian	pelaut	0.18
bagian	pengrajin	0.21
bagian	langganan	0.21
bagian	pencinta	0.12
bagian	kenalan	0.17
bagian	penyidik	0.18
bagian	pelacur	0.14
bagian	pengirim	0.28
bagian	perusak	0.26
bagian	pendiam	0.1
bagian	pemeluk	0.2
bagian	penikmat	0.19
bagian	pemangku	0.25
bagian	perampok	0.18
bagian	pelarian	0.19
bagian	pengidap	0.16
bagian	penunjuk	0.25
bagian	pemuka	0.23
bagian	pengemis	0.18
bagian	pemusik	0.2
bagian	sukarelawan	0.23
bagian	penerbang	0.16
bagian	pejalan	0.25
bagian	petinju	0.22
bagian	penyandang	0.2
bagian	penanggung	0.33
bagian	penolong	0.22
bagian	jagoan	0.2
bagian	penembak	0.18
bagian	penipu	0.1
bagian	penyelamat	0.21
bagian	pendaftar	0.14
bagian	pelari	0.23
bagian	pengiring	0.26
bagian	penata	0.21
bagian	pengambil	0.29
bagian	penuntut	0.23
bagian	pembina	0.19
bagian	tanggungan	0.34
bagian	pencetus	0.28
bagian	pemangsa	0.22
bagian	penyebar	0.23
bagian	pemesan	0.28
bagian	dermawan	0.08
bagian	pemeriksa	0.27
bagian	negarawan	0.17
bagian	pengukur	0.21
bagian	penambang	0.17
bagian	pembajak	0.17
bagian	budayawan	0.15
bagian	perekam	0.24
bagian	penyayang	0.13
bagian	pemukul	0.26
bagian	perencana	0.24
bagian	pengumpul	0.2
bagian	wirausahawan	0.13
bagian	penangkap	0.22
bagian	penyelam	0.18
bagian	pemasar	0.17
bagian	pemalas	0.1
bagian	penarik	0.31
bagian	pengembara	0.23
bagian	gerilyawan	0.16
bagian	penggagas	0.18
bagian	penyembah	0.09
bagian	penilai	0.22
bagian	penguji	0.16
bagian	pengunjuk	0.14
bagian	penyembuh	0.21
bagian	rohaniwan	0.2
bagian	pemanah	0.23
bagian	penyelidik	0.16
bagian	penampil	0.28
bagian	peranakan	0.21
bagian	suruhan	0.13
bagian	usahawan	0.18
bagian	pelapor	0.18
bagian	pemahat	0.15
bagian	penunggu	0.22
bagian	penurut	0.23
bagian	pengusul	0.16
bagian	pemimpi	0.16
bagian	penyusup	0.2
bagian	pemungut	0.21
bagian	penceramah	0.13
bagian	penggarap	0.27
bagian	pelupa	0.06
bagian	perupa	0.18
bagian	penyendiri	0.17
bagian	pemateri	0.23
bagian	penggali	0.22
bagian	penukar	0.24
bagian	penyabar	0.08
bagian	pelempar	0.17
bagian	pemborong	0.15
bagian	pendemo	0.18
bagian	pencerita	0.24
bagian	penyelundup	0.1
bagian	penganggur	0.12
bagian	penggiling	0.26
bagian	pengulas	0.23
bagian	penagih	0.14
bagian	hartawan	0.15
bagian	perumus	0.19
bagian	peniup	0.06
bagian	penggalang	0.26
bagian	pembenci	0.16
bagian	pengkaji	0.18
bagian	pembebas	0.28
bagian	pemetik	0.11
bagian	penjilat	0.16
bagian	pencabut	0.26
bagian	peramah	0.04
bagian	pengukir	0.14
bagian	pengejar	0.22
bagian	pemerah	0.23
bagian	wiraswastawan	0.15
bagian	pemulia	0.21
bagian	penendang	0.29
bagian	penyimak	0.24
bagian	pelestari	0.19
bagian	penjemput	0.16
bagian	pembaru	0.28
bagian	penghayat	0.21
bagian	pengadu	0.15
bagian	pemasak	0.13
bagian	pembobol	0.17
bagian	penggemblengan	0.2
bagian	penghasut	0.18
bagian	penderma	0.26
bagian	pemaksa	0.17
bagian	peragu	0.06
bagian	pengekor	0.18
bagian	perayu	0.11
bagian	pendebat	0.18
bagian	penyuara	0.31
bagian	pemimpinan	0.27
bagian	penghadang	0.28
bagian	pengasah	0.28
bagian	pengutang	0.16
bagian	pembisik	0.14
bagian	pengetuk	0.26
bagian	pemberang	0.25
bagian	peneguh	0.25
bagian	pewirausaha	0.13
bagian	pencuriga	0.19
bagian	pengalah	0.32
bagian	pengalasan	0.37
bagian	pengamuk	0.19
penyakit	pemain	0.27
penyakit	penduduk	0.32
penyakit	pengguna	0.19
penyakit	wisatawan	0.2
penyakit	penelitian	0.36
penyakit	pasangan	0.3
penyakit	penulis	0.22
penyakit	pemimpin	0.25
penyakit	peserta	0.22
penyakit	pengunjung	0.21
penyakit	penderita	0.63
penyakit	pembelajaran	0.27
penyakit	pelayanan	0.31
penyakit	kehilangan	0.28
penyakit	keturunan	0.38
penyakit	pemilik	0.21
penyakit	penyanyi	0.24
penyakit	karyawan	0.2
penyakit	pelanggan	0.21
penyakit	kelahiran	0.29
penyakit	perdagangan	0.31
penyakit	petani	0.24
penyakit	pekerja	0.3
penyakit	kepercayaan	0.3
penyakit	pemuda	0.27
penyakit	penumpang	0.21
penyakit	pimpinan	0.22
penyakit	pembaca	0.21
penyakit	kekurangan	0.37
penyakit	pejabat	0.2
penyakit	campuran	0.29
penyakit	pelaku	0.29
penyakit	peneliti	0.26
penyakit	pengusaha	0.25
penyakit	pendukung	0.29
penyakit	petunjuk	0.22
penyakit	pemenang	0.17
penyakit	petugas	0.23
penyakit	perbaikan	0.32
penyakit	pelatih	0.21
penyakit	pedagang	0.22
penyakit	pelajar	0.18
penyakit	pengurus	0.17
penyakit	jurusan	0.21
penyakit	ilmuwan	0.27
penyakit	pendiri	0.22
penyakit	angkatan	0.19
penyakit	sasaran	0.32
penyakit	pembuat	0.22
penyakit	penjual	0.2
penyakit	pengganti	0.19
penyakit	perwakilan	0.14
penyakit	lulusan	0.18
penyakit	pembeli	0.22
penyakit	penerima	0.19
penyakit	pergerakan	0.3
penyakit	pemegang	0.15
penyakit	penyedia	0.25
penyakit	penjaga	0.2
penyakit	pencari	0.15
penyakit	pembawa	0.31
penyakit	undangan	0.21
penyakit	cadangan	0.19
penyakit	pemeran	0.22
penyakit	bangsawan	0.23
penyakit	pembantu	0.23
penyakit	pengarang	0.21
penyakit	pengelola	0.23
penyakit	pejuang	0.23
penyakit	tahanan	0.26
penyakit	pengikut	0.2
penyakit	rombongan	0.19
penyakit	pengajar	0.16
penyakit	pendidik	0.21
penyakit	penghuni	0.28
penyakit	pengembang	0.15
penyakit	jajaran	0.16
penyakit	pembuka	0.19
penyakit	penari	0.18
penyakit	pemberi	0.17
penyakit	pelayan	0.2
penyakit	pendatang	0.2
penyakit	pembunuh	0.35
penyakit	penyelenggara	0.24
penyakit	turunan	0.33
penyakit	pelukis	0.15
penyakit	utusan	0.19
penyakit	pembiayaan	0.29
penyakit	pengacara	0.16
penyakit	perawat	0.25
penyakit	penganut	0.3
penyakit	pengamat	0.16
penyakit	penghubung	0.14
