noun_w_buah	noun_w_orang	cossim
hal	dalam	0.49
hal	tahun	0.29
hal	orang	0.45
hal	saat	0.53
hal	anak	0.35
hal	tempat	0.44
hal	diri	0.33
hal	manusia	0.37
hal	hasil	0.46
hal	masyarakat	0.39
hal	kelas	0.26
hal	hidup	0.39
hal	wanita	0.39
hal	anggota	0.29
hal	keluarga	0.31
hal	data	0.35
hal	ibu	0.27
hal	kelompok	0.35
hal	jam	0.28
hal	tim	0.32
hal	kulit	0.28
hal	bisnis	0.42
hal	siswa	0.3
hal	pihak	0.42
hal	pria	0.35
hal	media	0.34
hal	guru	0.32
hal	perempuan	0.33
hal	kepala	0.28
hal	bumi	0.26
hal	politik	0.35
hal	teman	0.33
hal	bangsa	0.3
hal	batu	0.29
hal	warga	0.26
hal	perangkat	0.38
hal	model	0.33
hal	bayi	0.29
hal	mahasiswa	0.27
hal	dokter	0.27
hal	internet	0.33
hal	raja	0.23
hal	rakyat	0.26
hal	ahli	0.35
hal	tokoh	0.37
hal	pasukan	0.23
hal	tenaga	0.28
hal	kaum	0.26
hal	istri	0.33
hal	militer	0.27
hal	karakter	0.38
hal	gadis	0.32
hal	suami	0.32
hal	calon	0.23
hal	ayah	0.27
hal	tamu	0.29
hal	individu	0.35
hal	remaja	0.29
hal	umat	0.34
hal	mantan	0.24
hal	matahari	0.24
hal	tipe	0.38
hal	burung	0.28
hal	korban	0.27
hal	konsumen	0.31
hal	putra	0.17
hal	saudara	0.28
hal	manajemen	0.35
hal	agen	0.33
hal	tentara	0.25
hal	objek	0.42
hal	generasi	0.3
hal	putri	0.16
hal	umur	0.31
hal	presiden	0.28
hal	pajak	0.3
hal	makhluk	0.36
hal	ujung	0.26
hal	pasien	0.26
hal	kelapa	0.19
hal	polisi	0.25
hal	luka	0.27
hal	suhu	0.29
hal	sahabat	0.32
hal	staf	0.21
hal	radio	0.23
hal	kampung	0.22
hal	aktor	0.26
hal	ulama	0.32
hal	artis	0.25
hal	kontak	0.3
hal	lelaki	0.32
hal	murid	0.27
hal	ketua	0.22
hal	wakil	0.24
hal	pegawai	0.24
hal	musuh	0.28
hal	adik	0.23
hal	dewa	0.2
hal	biji	0.2
hal	kakak	0.26
hal	produsen	0.28
hal	menteri	0.26
hal	profesi	0.4
hal	mitra	0.24
hal	raksasa	0.25
hal	manajer	0.28
hal	dosen	0.26
hal	sutradara	0.22
hal	buruh	0.19
hal	nenek	0.22
hal	induk	0.21
hal	rekan	0.31
hal	tetangga	0.28
hal	kuasa	0.31
hal	bandar	0.21
hal	terapi	0.27
hal	malaikat	0.21
hal	gubernur	0.24
hal	prajurit	0.19
hal	tukang	0.17
hal	operator	0.28
hal	pakar	0.32
hal	wartawan	0.24
hal	pacar	0.28
hal	produser	0.24
hal	senior	0.25
hal	wali	0.21
hal	saksi	0.31
hal	kawan	0.3
hal	hamba	0.2
hal	obyek	0.42
hal	seniman	0.19
hal	dewan	0.2
hal	hakim	0.22
hal	kaisar	0.2
hal	famili	0.12
hal	pahlawan	0.23
hal	investor	0.25
hal	perwira	0.17
hal	legenda	0.34
hal	eksekutif	0.21
hal	budak	0.17
hal	mama	0.22
hal	kerangka	0.33
hal	cucu	0.21
hal	tambang	0.22
hal	nelayan	0.18
hal	hantu	0.26
hal	atlet	0.21
hal	isteri	0.25
hal	pendeta	0.16
hal	direktur	0.22
hal	politikus	0.21
hal	formasi	0.31
hal	panitia	0.24
hal	aktivis	0.21
hal	jenderal	0.2
hal	pilot	0.21
hal	kandidat	0.27
hal	mayat	0.27
hal	subjek	0.38
hal	wasit	0.18
hal	balita	0.26
hal	pangeran	0.18
hal	asisten	0.19
hal	responden	0.22
hal	juru	0.17
hal	awak	0.18
hal	distributor	0.17
hal	kakek	0.21
hal	profesor	0.21
hal	komandan	0.23
hal	kerabat	0.24
hal	komunis	0.2
hal	teroris	0.27
hal	arsitek	0.21
hal	politisi	0.23
hal	ratu	0.17
hal	desainer	0.24
