noun_w_ekor	noun_w_buah	cossim
petani	bagian	0.21
petani	penyakit	0.24
petani	perusahaan	0.36
petani	perjalanan	0.22
petani	makanan	0.27
petani	pendidikan	0.3
petani	pemerintah	0.47
petani	tujuan	0.14
petani	kehidupan	0.34
petani	hubungan	0.21
petani	kegiatan	0.28
petani	kecamatan	0.36
petani	penilaian	0.16
petani	kemampuan	0.26
petani	lingkungan	0.29
petani	kebutuhan	0.29
petani	keadaan	0.21
petani	pekerjaan	0.33
petani	perubahan	0.2
petani	permainan	0.19
petani	pilihan	0.2
petani	pertanyaan	0.24
petani	penelitian	0.22
petani	jaringan	0.24
petani	pemerintahan	0.3
petani	kekuatan	0.22
petani	ukuran	0.16
petani	tanaman	0.47
petani	layanan	0.16
petani	perkembangan	0.21
petani	pertandingan	0.16
petani	bangunan	0.28
petani	pembangunan	0.31
petani	tindakan	0.2
petani	gerakan	0.28
petani	kerajaan	0.3
petani	kematian	0.25
petani	kebijakan	0.28
petani	pembelajaran	0.19
petani	serangan	0.24
petani	tulisan	0.12
petani	jawaban	0.18
petani	perbedaan	0.2
petani	kekuasaan	0.21
petani	keputusan	0.2
petani	keuntungan	0.3
petani	kehilangan	0.25
petani	kejadian	0.19
petani	kendaraan	0.21
petani	perasaan	0.19
petani	pelajaran	0.22
petani	ruangan	0.14
petani	peningkatan	0.27
petani	saluran	0.23
petani	aliran	0.21
petani	laporan	0.17
petani	pemilihan	0.24
petani	kemenangan	0.18
petani	pernikahan	0.18
petani	catatan	0.15
petani	pertemuan	0.21
petani	penjualan	0.29
petani	kesalahan	0.17
petani	pandangan	0.25
petani	lapangan	0.29
petani	perbuatan	0.16
petani	keinginan	0.24
petani	jabatan	0.19
petani	penampilan	0.14
petani	aturan	0.16
petani	harapan	0.28
petani	perencanaan	0.2
petani	latihan	0.14
petani	peralatan	0.24
petani	penjelasan	0.16
petani	kepercayaan	0.25
petani	peraturan	0.18
petani	kebiasaan	0.26
petani	permasalahan	0.25
petani	pemikiran	0.25
petani	ajaran	0.14
petani	permintaan	0.24
petani	kebenaran	0.18
petani	pemahaman	0.29
petani	pernyataan	0.13
petani	kebudayaan	0.3
petani	perjanjian	0.2
petani	campuran	0.23
petani	pertempuran	0.19
petani	pendekatan	0.18
petani	pelatihan	0.28
petani	sebutan	0.14
petani	petunjuk	0.15
petani	ketinggian	0.13
petani	kebaikan	0.16
petani	hukuman	0.17
petani	ujian	0.16
petani	perguruan	0.29
petani	perjuangan	0.29
petani	kejahatan	0.21
petani	masakan	0.27
petani	ketentuan	0.14
petani	kewajiban	0.24
petani	pengelolaan	0.3
petani	kemajuan	0.24
petani	penawaran	0.14
petani	rekaman	0.16
petani	persoalan	0.27
petani	jurusan	0.13
petani	satuan	0.25
petani	peringatan	0.15
petani	kenyataan	0.23
petani	kecelakaan	0.13
petani	ikatan	0.21
petani	kekerasan	0.2
petani	keyakinan	0.24
petani	kesadaran	0.31
petani	tantangan	0.21
petani	panggilan	0.11
petani	gambaran	0.22
petani	pemandangan	0.24
petani	potongan	0.21
petani	ancaman	0.19
petani	rangkaian	0.09
petani	kunjungan	0.21
petani	keberhasilan	0.28
petani	kebebasan	0.22
petani	keindahan	0.16
petani	perbatasan	0.27
petani	pertimbangan	0.16
petani	kebetulan	0.25
petani	persiapan	0.14
petani	harian	0.25
petani	pembicaraan	0.16
petani	ucapan	0.12
petani	pelabuhan	0.22
petani	pertunjukan	0.2
petani	pengadilan	0.26
petani	lukisan	0.21
petani	tuntutan	0.24
petani	pelanggaran	0.18
petani	gagasan	0.22
petani	pesanan	0.18
petani	penemuan	0.22
petani	jaminan	0.25
petani	perkebunan	0.53
petani	lingkaran	0.19
petani	daratan	0.24
petani	kekalahan	0.17
petani	pergerakan	0.28
petani	percobaan	0.22
petani	peradaban	0.24
petani	kegagalan	0.28
petani	perayaan	0.21
petani	perkawinan	0.24
petani	perekonomian	0.4
