noun_w_ekor	noun_w_orang	cossim
petani	pemain	0.36
petani	penduduk	0.47
petani	pengguna	0.34
petani	wisatawan	0.33
petani	penelitian	0.22
petani	pasangan	0.27
petani	penulis	0.34
petani	pemimpin	0.39
petani	peserta	0.32
petani	pengunjung	0.33
petani	penderita	0.35
petani	pembelajaran	0.19
petani	pelayanan	0.23
petani	kehilangan	0.25
petani	keturunan	0.33
petani	pemilik	0.45
petani	penyanyi	0.34
petani	karyawan	0.36
petani	pelanggan	0.36
petani	kelahiran	0.31
petani	perdagangan	0.33
petani	pekerja	0.52
petani	kepercayaan	0.25
petani	pemuda	0.47
petani	penumpang	0.27
petani	pimpinan	0.32
petani	pembaca	0.33
petani	kekurangan	0.21
petani	pejabat	0.41
petani	campuran	0.23
petani	pelaku	0.42
petani	peneliti	0.39
petani	pengusaha	0.6
petani	pendukung	0.31
petani	petunjuk	0.15
petani	pemenang	0.19
petani	petugas	0.39
petani	perbaikan	0.22
petani	pelatih	0.31
petani	pedagang	0.6
petani	pelajar	0.39
petani	pengurus	0.34
petani	jurusan	0.13
petani	ilmuwan	0.39
petani	pendiri	0.32
petani	angkatan	0.23
petani	sasaran	0.24
petani	pembuat	0.4
petani	penjual	0.43
petani	pengganti	0.25
petani	perwakilan	0.28
petani	lulusan	0.32
petani	pembeli	0.43
petani	penerima	0.31
petani	pergerakan	0.28
petani	pemegang	0.31
petani	penyedia	0.28
petani	penjaga	0.31
petani	pencari	0.28
petani	pembawa	0.26
petani	undangan	0.16
petani	cadangan	0.18
petani	pemeran	0.32
petani	bangsawan	0.45
petani	pembantu	0.31
petani	pengarang	0.34
petani	pengelola	0.38
petani	pejuang	0.39
petani	tahanan	0.22
petani	pengikut	0.27
petani	rombongan	0.28
petani	pengajar	0.34
petani	pendidik	0.37
petani	penghuni	0.31
petani	pengembang	0.37
petani	jajaran	0.24
petani	pembuka	0.16
petani	penari	0.33
petani	pemberi	0.25
petani	pelayan	0.37
petani	pendatang	0.35
petani	pembunuh	0.32
petani	penyelenggara	0.24
petani	turunan	0.22
petani	pelukis	0.35
petani	utusan	0.29
petani	pembiayaan	0.26
petani	pengacara	0.35
petani	perawat	0.31
petani	penganut	0.32
petani	pengamat	0.32
petani	penghubung	0.23
petani	pesaing	0.23
petani	pengawas	0.3
petani	penjahat	0.26
petani	pelaksana	0.3
petani	kebangsaan	0.22
petani	pembicara	0.22
petani	pengantar	0.19
petani	pendengar	0.27
petani	pendamping	0.31
