noun_w_ekor	noun_w_orang	cossim
kumbang	orang	0.27
kumbang	sendiri	0.22
kumbang	diri	0.21
kumbang	manusia	0.26
kumbang	wanita	0.26
kumbang	anggota	0.19
kumbang	siswa	0.18
kumbang	pihak	0.14
kumbang	pria	0.25
kumbang	guru	0.22
kumbang	perempuan	0.22
kumbang	teman	0.2
kumbang	warga	0.22
kumbang	bayi	0.23
kumbang	mahasiswa	0.17
kumbang	dokter	0.12
kumbang	internet	0.15
kumbang	raja	0.21
kumbang	rakyat	0.2
kumbang	ahli	0.17
kumbang	tokoh	0.22
kumbang	tenaga	0.18
kumbang	kaum	0.22
kumbang	istri	0.18
kumbang	militer	0.12
kumbang	gadis	0.3
kumbang	dewasa	0.16
kumbang	suami	0.17
kumbang	calon	0.19
kumbang	asing	0.17
kumbang	ayah	0.21
kumbang	tamu	0.2
kumbang	remaja	0.22
kumbang	umat	0.22
kumbang	mantan	0.22
kumbang	publik	0.14
kumbang	korban	0.24
kumbang	konsumen	0.19
kumbang	putra	0.19
kumbang	saudara	0.16
kumbang	putri	0.19
kumbang	presiden	0.15
kumbang	makhluk	0.3
kumbang	pasien	0.19
kumbang	polisi	0.15
kumbang	sobat	0.19
kumbang	sahabat	0.19
kumbang	staf	0.08
kumbang	aktor	0.22
kumbang	ulama	0.25
kumbang	artis	0.24
kumbang	lawan	0.17
kumbang	kontak	0.17
kumbang	lelaki	0.27
kumbang	murid	0.16
kumbang	ketua	0.11
kumbang	wakil	0.15
kumbang	pegawai	0.16
kumbang	musuh	0.26
kumbang	adik	0.2
kumbang	dewa	0.25
kumbang	mas	0.12
kumbang	kakak	0.22
kumbang	produsen	0.26
kumbang	menteri	0.12
kumbang	mitra	0.2
kumbang	raksasa	0.28
kumbang	blogger	0.15
kumbang	manajer	0.08
kumbang	dosen	0.16
kumbang	sutradara	0.1
kumbang	buruh	0.22
kumbang	nenek	0.2
kumbang	induk	0.3
kumbang	rekan	0.15
kumbang	tetangga	0.2
kumbang	kuasa	0.08
kumbang	bandar	0.16
kumbang	malaikat	0.17
kumbang	gubernur	0.1
kumbang	prajurit	0.25
kumbang	admin	0.07
kumbang	tukang	0.2
kumbang	user	0.11
kumbang	operator	0.12
kumbang	pakar	0.18
kumbang	wartawan	0.18
kumbang	pacar	0.1
kumbang	produser	0.14
kumbang	senior	0.13
kumbang	wali	0.11
kumbang	saksi	0.16
kumbang	kawan	0.23
kumbang	hamba	0.16
kumbang	seniman	0.21
kumbang	musisi	0.25
kumbang	hakim	0.12
kumbang	kaisar	0.18
kumbang	famili	0.37
kumbang	pahlawan	0.27
kumbang	sarjana	0.07
kumbang	investor	0.15
kumbang	haji	0.15
kumbang	perwira	0.19
kumbang	eksekutif	0.13
kumbang	budak	0.2
kumbang	mama	0.13
kumbang	cucu	0.2
kumbang	bupati	0.14
kumbang	nelayan	0.23
kumbang	hantu	0.22
kumbang	atlet	0.22
kumbang	isteri	0.2
kumbang	leader	0.09
kumbang	pendeta	0.16
kumbang	direktur	0.06
kumbang	formasi	0.15
kumbang	panitia	0.14
kumbang	aktivis	0.2
kumbang	official	0.25
kumbang	jenderal	0.14
kumbang	kafir	0.15
kumbang	pilot	0.18
kumbang	kandidat	0.14
kumbang	mayat	0.22
kumbang	wasit	0.14
kumbang	balita	0.17
kumbang	pangeran	0.19
kumbang	asisten	0.09
kumbang	responden	0.09
kumbang	juru	0.08
kumbang	awak	0.13
kumbang	distributor	0.15
kumbang	kakek	0.25
kumbang	profesor	0.1
kumbang	komandan	0.12
kumbang	kerabat	0.16
kumbang	komunis	0.17
kumbang	teroris	0.21
kumbang	leluhur	0.18
kumbang	arsitek	0.13
kumbang	politisi	0.21
kumbang	ratu	0.2
kumbang	pribumi	0.12
kumbang	desainer	0.18
kumbang	kapten	0.1
kumbang	sekutu	0.15
kumbang	alumni	0.11
kumbang	sponsor	0.15
kumbang	master	0.08
kumbang	spesialis	0.15
kumbang	atasan	0.14
kumbang	santri	0.23
kumbang	sekretaris	0.05
kumbang	putera	0.16
kumbang	kritikus	0.25
kumbang	abang	0.2
kumbang	oknum	0.18
kumbang	konsultan	0.15
kumbang	player	0.13
kumbang	filsuf	0.16
kumbang	turis	0.19
kumbang	monster	0.29
kumbang	mahluk	0.27
kumbang	tante	0.07
kumbang	bidan	0.07
kumbang	rasul	0.1
kumbang	iblis	0.22
kumbang	janda	0.17
kumbang	jamaah	0.22
kumbang	fotografer	0.14
kumbang	elit	0.15
kumbang	kader	0.16
kumbang	waris	0.12
kumbang	insinyur	0.21
kumbang	subyek	0.17
kumbang	dukun	0.13
kumbang	audit	0.09
kumbang	kru	0.13
kumbang	sopir	0.19
kumbang	duta	0.16
kumbang	doktor	0.09
kumbang	bubur	0.23
kumbang	bocah	0.26
kumbang	driver	0.15
kumbang	intelijen	0.11
kumbang	praktisi	0.15
kumbang	walikota	0.08
