noun_w_ekor	noun_w_orang	cossim
orang	dalam	0.43
orang	tahun	0.32
orang	saat	0.48
orang	anak	0.64
orang	tempat	0.46
orang	diri	0.49
orang	manusia	0.55
orang	hasil	0.32
orang	masyarakat	0.6
orang	kelas	0.36
orang	hidup	0.47
orang	wanita	0.59
orang	anggota	0.59
orang	keluarga	0.54
orang	data	0.3
orang	ibu	0.47
orang	kelompok	0.56
orang	jam	0.27
orang	tim	0.42
orang	pemain	0.48
orang	kulit	0.41
orang	bisnis	0.35
orang	siswa	0.53
orang	pihak	0.54
orang	pria	0.56
orang	media	0.34
orang	penduduk	0.57
orang	guru	0.52
orang	perempuan	0.58
orang	kepala	0.43
orang	bumi	0.33
orang	pengguna	0.5
orang	politik	0.31
orang	wisatawan	0.41
orang	teman	0.61
orang	bangsa	0.51
orang	penelitian	0.27
orang	batu	0.3
orang	warga	0.62
orang	perangkat	0.35
orang	model	0.24
orang	pasangan	0.49
orang	bayi	0.43
orang	penulis	0.45
orang	mahasiswa	0.5
orang	dokter	0.43
orang	internet	0.36
orang	pemimpin	0.54
orang	raja	0.44
orang	peserta	0.53
orang	rakyat	0.5
orang	ahli	0.48
orang	tokoh	0.5
orang	pasukan	0.42
orang	tenaga	0.41
orang	kaum	0.56
orang	istri	0.5
orang	militer	0.33
orang	karakter	0.4
orang	pengunjung	0.45
orang	gadis	0.51
orang	penderita	0.52
orang	suami	0.45
orang	pembelajaran	0.25
orang	calon	0.53
orang	ayah	0.45
orang	tamu	0.41
orang	pelayanan	0.32
orang	individu	0.58
orang	remaja	0.49
orang	umat	0.56
orang	mantan	0.47
orang	kehilangan	0.46
orang	matahari	0.24
orang	tipe	0.39
orang	keturunan	0.47
orang	burung	0.37
orang	pemilik	0.47
orang	korban	0.49
orang	konsumen	0.45
orang	putra	0.43
orang	saudara	0.51
orang	manajemen	0.26
orang	agen	0.35
orang	penyanyi	0.42
orang	tentara	0.52
orang	objek	0.35
orang	generasi	0.45
orang	karyawan	0.5
orang	putri	0.4
orang	umur	0.4
orang	presiden	0.39
orang	pajak	0.3
orang	pelanggan	0.47
orang	makhluk	0.44
orang	kelahiran	0.34
orang	ujung	0.3
orang	pasien	0.5
orang	kelapa	0.27
orang	perdagangan	0.29
orang	petani	0.44
orang	polisi	0.41
orang	luka	0.29
orang	pekerja	0.51
orang	kepercayaan	0.41
orang	suhu	0.18
orang	pemuda	0.52
orang	sahabat	0.52
orang	staf	0.31
orang	radio	0.29
orang	penumpang	0.47
orang	pimpinan	0.42
orang	kampung	0.41
orang	pembaca	0.46
orang	kekurangan	0.34
orang	aktor	0.43
orang	ulama	0.48
orang	artis	0.46
orang	pejabat	0.53
orang	kontak	0.35
orang	lelaki	0.58
orang	murid	0.57
orang	campuran	0.34
orang	pelaku	0.48
orang	peneliti	0.43
orang	ketua	0.4
orang	pengusaha	0.53
orang	wakil	0.47
