noun_w_buah_affixed1	noun_w_buah_affixed2	cossim
bagian	penyakit	0.33
bagian	perusahaan	0.36
bagian	perjalanan	0.37
bagian	makanan	0.34
bagian	pendidikan	0.31
bagian	pemerintah	0.32
bagian	tujuan	0.39
bagian	kehidupan	0.38
bagian	hubungan	0.36
bagian	kegiatan	0.38
bagian	kecamatan	0.35
bagian	penilaian	0.33
bagian	kemampuan	0.31
bagian	lingkungan	0.4
bagian	kebutuhan	0.35
bagian	keadaan	0.39
bagian	pekerjaan	0.36
bagian	perubahan	0.39
bagian	permainan	0.27
bagian	pilihan	0.39
bagian	pertanyaan	0.35
bagian	penelitian	0.29
bagian	jaringan	0.45
bagian	pemerintahan	0.32
bagian	kekuatan	0.34
bagian	ukuran	0.42
bagian	tanaman	0.37
bagian	layanan	0.27
bagian	perkembangan	0.41
bagian	pertandingan	0.28
bagian	bangunan	0.41
bagian	pembangunan	0.36
bagian	tindakan	0.37
bagian	gerakan	0.38
bagian	kerajaan	0.36
bagian	kematian	0.21
bagian	kebijakan	0.33
bagian	pembelajaran	0.24
bagian	serangan	0.3
bagian	tulisan	0.37
bagian	jawaban	0.23
bagian	perbedaan	0.37
bagian	kekuasaan	0.31
bagian	keputusan	0.29
bagian	keuntungan	0.32
bagian	kehilangan	0.37
bagian	kejadian	0.31
bagian	kendaraan	0.28
bagian	perasaan	0.27
bagian	pelajaran	0.31
bagian	ruangan	0.44
bagian	peningkatan	0.36
bagian	saluran	0.47
bagian	aliran	0.38
bagian	laporan	0.33
bagian	pemilihan	0.32
bagian	kemenangan	0.25
bagian	pernikahan	0.27
bagian	catatan	0.39
bagian	pertemuan	0.3
bagian	penjualan	0.32
bagian	kesalahan	0.3
bagian	pandangan	0.39
bagian	lapangan	0.31
bagian	perbuatan	0.25
bagian	keinginan	0.27
bagian	jabatan	0.31
bagian	penampilan	0.35
bagian	aturan	0.34
bagian	harapan	0.27
bagian	perencanaan	0.36
bagian	latihan	0.29
bagian	peralatan	0.31
bagian	penjelasan	0.37
bagian	kepercayaan	0.25
bagian	peraturan	0.35
bagian	kebiasaan	0.32
bagian	permasalahan	0.4
bagian	pemikiran	0.33
bagian	ajaran	0.23
bagian	permintaan	0.26
bagian	kebenaran	0.23
bagian	pemahaman	0.35
bagian	pernyataan	0.3
bagian	kebudayaan	0.34
bagian	perjanjian	0.33
bagian	campuran	0.35
