noun_w_ekor_noaffix1	noun_w_ekor_noaffix2	cossim
kumbang	ikan	0.35
kumbang	lalat	0.61
kumbang	hewan	0.37
kumbang	daging	0.3
kumbang	ayam	0.33
kumbang	kucing	0.31
kumbang	binatang	0.34
kumbang	sapi	0.32
kumbang	anjing	0.29
kumbang	kuda	0.26
kumbang	ular	0.35
kumbang	jantan	0.28
kumbang	betina	0.22
kumbang	ternak	0.31
kumbang	babi	0.26
kumbang	serangga	0.45
kumbang	tikus	0.31
kumbang	gajah	0.28
kumbang	singa	0.22
kumbang	domba	0.21
kumbang	naga	0.29
kumbang	bebek	0.3
kumbang	buaya	0.31
kumbang	cacing	0.33
kumbang	paus	0.24
kumbang	nyamuk	0.29
kumbang	lebah	0.31
kumbang	kutu	0.28
kumbang	mamalia	0.3
kumbang	hiu	0.26
kumbang	harimau	0.3
kumbang	kerbau	0.32
kumbang	semut	0.32
kumbang	beruang	0.23
kumbang	monyet	0.25
kumbang	lele	0.31
kumbang	rusa	0.29
kumbang	serigala	0.25
kumbang	katak	0.32
kumbang	unta	0.27
kumbang	kera	0.26
kumbang	ulat	0.35
kumbang	kepiting	0.26
kumbang	kodok	0.31
kumbang	penyu	0.28
kumbang	elang	0.24
kumbang	rubah	0.19
kumbang	kadal	0.31
kumbang	merpati	0.26
kumbang	lembu	0.26
kumbang	kelelawar	0.3
kumbang	belut	0.28
kumbang	bersayap	0.24
kumbang	keledai	0.28
kumbang	belalang	0.38
kumbang	siput	0.33
kumbang	angsa	0.29
kumbang	banteng	0.24
kumbang	jangkrik	0.32
kumbang	cupang	0.26
kumbang	primata	0.21
kumbang	pari	0.18
kumbang	gagak	0.26
kumbang	biota	0.19
kumbang	gurita	0.2
kumbang	kijang	0.3
kumbang	kecoa	0.29
kumbang	simpanse	0.13
kumbang	pejantan	0.24
kumbang	tupai	0.29
kumbang	orangutan	0.18
kumbang	ngengat	0.35
kumbang	tokek	0.25
kumbang	garuda	0.3
kumbang	musang	0.29
kumbang	keong	0.29
kumbang	kalkun	0.22
kumbang	cicak	0.3
kumbang	gorila	0.17
kumbang	patin	0.26
kumbang	tungau	0.3
kumbang	biawak	0.28
kumbang	pipit	0.27
kumbang	semur	0.27
kumbang	mencit	0.15
kumbang	bunglon	0.27
kumbang	belatung	0.32
kumbang	kancil	0.29
kumbang	kobra	0.27
kumbang	kupu	0.37
kumbang	kerapu	0.28
kumbang	beo	0.17
kumbang	kecoak	0.32
kumbang	cecak	0.31
kumbang	sanca	0.18
kumbang	lutung	0.24
kumbang	rajungan	0.18
kumbang	nuri	0.18
kumbang	iguana	0.25
kumbang	lipan	0.3
kumbang	celeng	0.27
kumbang	wader	0.22
kumbang	beruk	0.29
kumbang	marmut	0.26
kumbang	laron	0.27
kumbang	insekta	0.25
kumbang	cenderawasih	0.23
kumbang	kutilang	0.24
kumbang	kelomang	0.24
kumbang	pedet	0.12
kumbang	lipas	0.34
kumbang	cemani	0.13
kumbang	bonobo	0.21
kumbang	tonggeret	0.38
kumbang	gazelle	0.23
kumbang	tedong	0.2
kumbang	pekatik	0.22
kumbang	tongeret	0.29
ikan	lalat	0.38
ikan	hewan	0.51
ikan	daging	0.58
ikan	ayam	0.53
ikan	kucing	0.39
ikan	binatang	0.45
ikan	sapi	0.47
ikan	anjing	0.37
ikan	kuda	0.36
ikan	ular	0.44
ikan	jantan	0.38
ikan	betina	0.36
ikan	ternak	0.47
ikan	babi	0.44
ikan	serangga	0.44
ikan	tikus	0.36
ikan	gajah	0.34
ikan	singa	0.34
ikan	domba	0.36
ikan	naga	0.42
ikan	bebek	0.46
ikan	buaya	0.46
ikan	cacing	0.42
ikan	paus	0.54
ikan	nyamuk	0.38
ikan	lebah	0.27
ikan	kutu	0.36
ikan	mamalia	0.38
ikan	hiu	0.61
ikan	harimau	0.39
ikan	kerbau	0.36
ikan	semut	0.32
ikan	beruang	0.35
ikan	monyet	0.31
ikan	lele	0.7
ikan	rusa	0.41
ikan	serigala	0.29
ikan	katak	0.43
ikan	unta	0.32
ikan	kera	0.31
ikan	ulat	0.38
ikan	kepiting	0.55
ikan	kodok	0.45
ikan	penyu	0.5
ikan	elang	0.33
ikan	rubah	0.28
ikan	kadal	0.36
ikan	merpati	0.36
ikan	lembu	0.37
ikan	kelelawar	0.31
ikan	belut	0.63
ikan	bersayap	0.25
ikan	keledai	0.29
ikan	belalang	0.38
ikan	siput	0.4
ikan	angsa	0.39
ikan	banteng	0.31
ikan	jangkrik	0.39
ikan	cupang	0.55
ikan	primata	0.24
ikan	pari	0.53
ikan	gagak	0.3
ikan	biota	0.51
ikan	gurita	0.5
ikan	kijang	0.33
ikan	kecoa	0.28
ikan	simpanse	0.19
ikan	pejantan	0.34
ikan	tupai	0.33
ikan	orangutan	0.32
ikan	ngengat	0.26
ikan	tokek	0.34
ikan	garuda	0.25
ikan	musang	0.28
ikan	keong	0.41
ikan	kalkun	0.42
ikan	cicak	0.31
ikan	gorila	0.26
ikan	patin	0.67
ikan	tungau	0.24
ikan	biawak	0.41
ikan	pipit	0.35
ikan	semur	0.34
ikan	mencit	0.26
ikan	bunglon	0.25
ikan	belatung	0.37
ikan	kancil	0.28
ikan	kobra	0.31
ikan	kupu	0.27
ikan	kerapu	0.61
ikan	beo	0.24
ikan	kecoak	0.25
ikan	cecak	0.36
ikan	sanca	0.35
ikan	lutung	0.28
ikan	rajungan	0.52
ikan	nuri	0.29
ikan	iguana	0.32
ikan	lipan	0.37
ikan	celeng	0.32
ikan	wader	0.58
ikan	beruk	0.35
ikan	marmut	0.29
ikan	laron	0.29
ikan	insekta	0.29
ikan	cenderawasih	0.33
ikan	kutilang	0.34
ikan	kelomang	0.37
ikan	pedet	0.25
ikan	lipas	0.36
ikan	cemani	0.31
ikan	bonobo	0.17
ikan	tonggeret	0.31
ikan	gazelle	0.25
ikan	tedong	0.31
ikan	pekatik	0.29
ikan	tongeret	0.33
lalat	hewan	0.38
lalat	daging	0.33
lalat	ayam	0.32
lalat	kucing	0.3
lalat	binatang	0.37
lalat	sapi	0.31
lalat	anjing	0.32
lalat	kuda	0.26
lalat	ular	0.28
lalat	jantan	0.26
lalat	betina	0.3
lalat	ternak	0.3
lalat	babi	0.28
lalat	serangga	0.52
lalat	tikus	0.4
lalat	gajah	0.28
lalat	singa	0.23
lalat	domba	0.24
lalat	naga	0.25
lalat	bebek	0.3
lalat	buaya	0.21
lalat	cacing	0.36
lalat	paus	0.25
