noun_w_orang_affixed1	noun_w_orang_affixed2	cossim
pemain	penduduk	0.33
pemain	pengguna	0.41
pemain	wisatawan	0.3
pemain	pasangan	0.39
pemain	penulis	0.39
pemain	pemimpin	0.46
pemain	peserta	0.46
pemain	pengunjung	0.35
pemain	penderita	0.3
pemain	keturunan	0.35
pemain	pemilik	0.41
pemain	penyanyi	0.52
pemain	karyawan	0.38
pemain	pelanggan	0.36
pemain	perdagangan	0.31
pemain	petani	0.36
pemain	pekerja	0.39
pemain	pemuda	0.4
pemain	penumpang	0.37
pemain	pimpinan	0.35
pemain	pembaca	0.33
pemain	pejabat	0.39
pemain	pelaku	0.39
pemain	peneliti	0.33
pemain	pengusaha	0.46
pemain	pendukung	0.47
pemain	pemenang	0.44
pemain	petugas	0.35
pemain	perbaikan	0.24
pemain	pelatih	0.66
pemain	pedagang	0.42
pemain	pelajar	0.37
pemain	pengurus	0.38
pemain	ilmuwan	0.32
pemain	pendiri	0.3
pemain	angkatan	0.3
pemain	sasaran	0.29
pemain	pembuat	0.37
pemain	penjual	0.41
pemain	pengganti	0.41
pemain	perwakilan	0.32
pemain	lulusan	0.32
pemain	pembeli	0.41
pemain	penerima	0.32
pemain	pemegang	0.41
pemain	penyedia	0.36
pemain	penjaga	0.38
pemain	pencari	0.34
pemain	pembawa	0.32
pemain	cadangan	0.4
pemain	pemeran	0.52
pemain	bangsawan	0.32
pemain	pembantu	0.33
pemain	pengarang	0.36
pemain	pengelola	0.37
pemain	pejuang	0.4
pemain	tahanan	0.29
pemain	pengikut	0.32
pemain	rombongan	0.34
pemain	politikus	0.41
pemain	tersangka	0.24
pemain	pengajar	0.37
pemain	pendidik	0.37
pemain	penghuni	0.35
pemain	sejarawan	0.28
pemain	jajaran	0.41
pemain	penari	0.46
pemain	pemberi	0.26
pemain	pelayan	0.32
pemain	penyair	0.33
pemain	pendatang	0.41
pemain	pembunuh	0.32
pemain	penyelenggara	0.35
pemain	turunan	0.21
pemain	pelukis	0.34
pemain	utusan	0.27
pemain	pembiayaan	0.3
pemain	pengacara	0.34
pemain	perawat	0.3
pemain	penganut	0.3
pemain	pengamat	0.38
pemain	vokalis	0.37
pemain	jurnalis	0.37
pemain	penghubung	0.26
pemain	pesaing	0.35
pemain	pengawas	0.29
pemain	penjahat	0.37
pemain	pelaksana	0.3
pemain	pembicara	0.32
pemain	pendengar	0.28
pemain	pendamping	0.32
pemain	pewaris	0.3
pemain	pengungsi	0.25
pemain	pengendara	0.38
pemain	pencuri	0.3
pemain	terdakwa	0.23
pemain	pebisnis	0.44
pemain	pemburu	0.36
pemain	pengawal	0.32
pemain	penemu	0.3
pemain	sastrawan	0.33
pemain	pengemudi	0.34
pemain	penerjemah	0.27
pemain	pemandu	0.36
pemain	tawanan	0.29
pemain	penegak	0.28
pemain	penutur	0.29
pemain	penyihir	0.29
pemain	pelamar	0.34
pemain	pemasok	0.34
pemain	pemikir	0.28
pemain	saingan	0.32
pemain	pembimbing	0.3
pemain	petinggi	0.4
pemain	pelaut	0.31
pemain	pengrajin	0.35
pemain	langganan	0.34
pemain	pencinta	0.35
pemain	kenalan	0.27
pemain	penyidik	0.32
pemain	pelacur	0.26
pemain	pengirim	0.23
pemain	perusak	0.29
pemain	pendiam	0.17
pemain	pemeluk	0.28
pemain	penikmat	0.38
pemain	pemangku	0.25
pemain	perampok	0.3
pemain	pengidap	0.22
pemain	pesepak	0.66
pemain	penunjuk	0.26
pemain	pemuka	0.26
pemain	pengemis	0.27
pemain	pemusik	0.48
pemain	sukarelawan	0.26
pemain	penerbang	0.33
pemain	pejalan	0.31
pemain	petinju	0.42
pemain	penyandang	0.29
pemain	penanggung	0.24
pemain	penolong	0.26
pemain	jagoan	0.4
pemain	penembak	0.4
pemain	penipu	0.33
pemain	novelis	0.29
pemain	penyelamat	0.33
pemain	pendaftar	0.31
pemain	pelari	0.36
pemain	pengiring	0.36
pemain	penata	0.35
pemain	pengambil	0.36
pemain	penuntut	0.26
pemain	pembina	0.33
pemain	tanggungan	0.22
pemain	petualang	0.27
pemain	pencetus	0.26
pemain	pemangsa	0.28
pemain	penyebar	0.26
pemain	pelancong	0.33
pemain	petarung	0.48
pemain	pemesan	0.28
pemain	dermawan	0.23
pemain	pemeriksa	0.26
pemain	negarawan	0.3
pemain	pengukur	0.23
pemain	penambang	0.32
pemain	biarawati	0.19
pemain	pembajak	0.28
pemain	budayawan	0.29
pemain	perekam	0.26
pemain	penyayang	0.18
pemain	pemukul	0.39
pemain	perencana	0.28
pemain	pengumpul	0.3
pemain	wirausahawan	0.35
pemain	penangkap	0.31
pemain	penyelam	0.31
pemain	pemasar	0.36
pemain	pemalas	0.2
pemain	pengecut	0.23
pemain	penarik	0.29
pemain	pengembara	0.28
pemain	gerilyawan	0.23
pemain	penggagas	0.25
pemain	penyembah	0.24
pemain	penilai	0.32
pemain	penguji	0.25
pemain	pustakawan	0.26
pemain	pengunjuk	0.22
pemain	tamatan	0.18
pemain	penyembuh	0.25
pemain	musikus	0.39
pemain	rohaniwan	0.3
pemain	pemanah	0.4
pemain	penyelidik	0.23
pemain	penampil	0.36
pemain	peranakan	0.19
pemain	suruhan	0.17
pemain	pemudik	0.27
pemain	titisan	0.23
pemain	usahawan	0.34
pemain	pelapor	0.29
pemain	pemahat	0.25
pemain	penunggu	0.22
pemain	penurut	0.16
pemain	pengusul	0.22
pemain	pemimpi	0.28
pemain	penyusup	0.28
pemain	pemungut	0.31
pemain	penceramah	0.26
pemain	penggarap	0.4
pemain	pengelana	0.25
pemain	pelupa	0.08
pemain	perupa	0.31
pemain	penyendiri	0.22
pemain	pezina	0.17
pemain	pemateri	0.25
pemain	bujangan	0.22
pemain	penggali	0.29
pemain	petapa	0.22
pemain	penukar	0.33
pemain	penyabar	0.17
pemain	asongan	0.19
pemain	pelempar	0.4
pemain	pemerkosa	0.26
pemain	pemborong	0.3
pemain	pendemo	0.25
pemain	pencerita	0.35
pemain	penyelundup	0.31
pemain	penganggur	0.24
pemain	penggiling	0.27
pemain	penterjemah	0.22
pemain	pengulas	0.29
pemain	penagih	0.23
pemain	penyintas	0.28
pemain	pesepeda	0.36
pemain	hartawan	0.33
pemain	perumus	0.27
pemain	pengayom	0.19
pemain	peniup	0.28
pemain	penggalang	0.32
pemain	pembenci	0.29
pemain	pengkaji	0.29
pemain	pembebas	0.2
pemain	pesakitan	0.3
pemain	pemetik	0.31
pemain	penjilat	0.29
pemain	pencabut	0.3
pemain	pemintal	0.24
pemain	peramah	0.21
pemain	pengukir	0.29
pemain	pengejar	0.36
pemain	wiraswastawan	0.29
pemain	pemijat	0.28
pemain	pemulia	0.32
pemain	pembatik	0.23
pemain	penendang	0.52
pemain	penyimak	0.27
pemain	pelestari	0.27
pemain	penjemput	0.28
pemain	pembaru	0.27
pemain	pelahap	0.25
pemain	pesinden	0.32
pemain	penghayat	0.23
pemain	pengadu	0.29
pemain	pemasak	0.28
pemain	pembobol	0.34
pemain	penggemblengan	0.31
pemain	penghasut	0.32
pemain	penderma	0.22
pemain	pemaksa	0.25
pemain	peragu	0.23
pemain	pengekor	0.34
pemain	perayu	0.29
pemain	pendebat	0.33
pemain	pengintip	0.31
pemain	ilusionis	0.36
pemain	penyuara	0.28
pemain	penghadang	0.37
pemain	pengasah	0.33
pemain	penatar	0.25
pemain	pengutang	0.31
pemain	pembisik	0.29
pemain	pengetuk	0.33
pemain	pemberang	0.36
pemain	pembesuk	0.23
pemain	peneguh	0.2
pemain	padagang	0.33
pemain	pewirausaha	0.38
pemain	pencuriga	0.29
pemain	pengalah	0.44
pemain	pengalasan	0.38
pemain	pezikir	0.33
pemain	pengamuk	0.36
pemain	pemengaruh	0.34
penduduk	pengguna	0.4
penduduk	wisatawan	0.47
penduduk	pasangan	0.26
penduduk	penulis	0.26
penduduk	pemimpin	0.35
penduduk	peserta	0.37
penduduk	pengunjung	0.39
penduduk	penderita	0.38
penduduk	keturunan	0.42
penduduk	pemilik	0.36
penduduk	penyanyi	0.33
penduduk	karyawan	0.35
penduduk	pelanggan	0.33
penduduk	perdagangan	0.36
penduduk	petani	0.47
penduduk	pekerja	0.42
penduduk	pemuda	0.48
penduduk	penumpang	0.4
penduduk	pimpinan	0.28
penduduk	pembaca	0.3
penduduk	pejabat	0.37
penduduk	pelaku	0.3
penduduk	peneliti	0.31
penduduk	pengusaha	0.37
penduduk	pendukung	0.32
penduduk	pemenang	0.16
penduduk	petugas	0.34
penduduk	perbaikan	0.16
penduduk	pelatih	0.22
penduduk	pedagang	0.43
penduduk	pelajar	0.41
penduduk	pengurus	0.25
penduduk	ilmuwan	0.32
penduduk	pendiri	0.22
penduduk	angkatan	0.36
penduduk	sasaran	0.27
penduduk	pembuat	0.24
penduduk	penjual	0.27
penduduk	pengganti	0.19
penduduk	perwakilan	0.3
penduduk	lulusan	0.32
penduduk	pembeli	0.31
penduduk	penerima	0.28
penduduk	pemegang	0.29
penduduk	penyedia	0.23
penduduk	penjaga	0.25
penduduk	pencari	0.29
penduduk	pembawa	0.23
penduduk	cadangan	0.21
penduduk	pemeran	0.27
penduduk	bangsawan	0.4
penduduk	pembantu	0.26
penduduk	pengarang	0.29
penduduk	pengelola	0.22
penduduk	pejuang	0.34
penduduk	tahanan	0.3
penduduk	pengikut	0.35
penduduk	rombongan	0.33
penduduk	politikus	0.31
penduduk	tersangka	0.16
penduduk	pengajar	0.28
penduduk	pendidik	0.27
penduduk	penghuni	0.51
penduduk	sejarawan	0.32
penduduk	jajaran	0.2
penduduk	penari	0.27
penduduk	pemberi	0.22
penduduk	pelayan	0.29
penduduk	penyair	0.28
penduduk	pendatang	0.53
penduduk	pembunuh	0.24
penduduk	penyelenggara	0.22
penduduk	turunan	0.17
penduduk	pelukis	0.24
penduduk	utusan	0.3
penduduk	pembiayaan	0.26
penduduk	pengacara	0.24
penduduk	perawat	0.28
penduduk	penganut	0.41
penduduk	pengamat	0.24
penduduk	vokalis	0.21
penduduk	jurnalis	0.25
penduduk	penghubung	0.23
penduduk	pesaing	0.19
penduduk	pengawas	0.18
penduduk	penjahat	0.3
penduduk	pelaksana	0.17
penduduk	pembicara	0.14
penduduk	pendengar	0.25
penduduk	pendamping	0.2
penduduk	pewaris	0.26
penduduk	pengungsi	0.47
penduduk	pengendara	0.3
penduduk	pencuri	0.22
penduduk	terdakwa	0.25
penduduk	pebisnis	0.32
penduduk	pemburu	0.26
penduduk	pengawal	0.21
penduduk	penemu	0.21
penduduk	sastrawan	0.27
penduduk	pengemudi	0.22
penduduk	penerjemah	0.19
penduduk	pemandu	0.23
penduduk	tawanan	0.35
penduduk	penegak	0.16
penduduk	penutur	0.44
penduduk	penyihir	0.26
penduduk	pelamar	0.32
penduduk	pemasok	0.26
penduduk	pemikir	0.21
penduduk	saingan	0.19
penduduk	pembimbing	0.12
penduduk	petinggi	0.28
penduduk	pelaut	0.36
