noun_w_orang	noun_w_orang_only	cossim
dalam	tahun	0.39
dalam	orang	0.43
dalam	saat	0.57
dalam	anak	0.32
dalam	tempat	0.47
dalam	diri	0.42
dalam	manusia	0.42
dalam	hasil	0.45
dalam	masyarakat	0.47
dalam	kelas	0.38
dalam	hidup	0.53
dalam	wanita	0.38
dalam	anggota	0.39
dalam	keluarga	0.35
dalam	data	0.33
dalam	ibu	0.28
dalam	kelompok	0.46
dalam	jam	0.31
dalam	tim	0.39
dalam	pemain	0.35
dalam	kulit	0.34
dalam	bisnis	0.43
dalam	siswa	0.32
dalam	pihak	0.35
dalam	pria	0.32
dalam	media	0.42
dalam	penduduk	0.24
dalam	guru	0.32
dalam	perempuan	0.33
dalam	kepala	0.34
dalam	bumi	0.36
dalam	pengguna	0.31
dalam	politik	0.44
dalam	wisatawan	0.17
dalam	teman	0.28
dalam	bangsa	0.38
dalam	penelitian	0.39
dalam	batu	0.3
dalam	warga	0.31
dalam	perangkat	0.43
dalam	model	0.37
dalam	pasangan	0.32
dalam	bayi	0.28
dalam	penulis	0.36
dalam	mahasiswa	0.29
dalam	dokter	0.24
dalam	internet	0.34
dalam	pemimpin	0.4
dalam	raja	0.25
dalam	peserta	0.38
dalam	rakyat	0.34
dalam	ahli	0.43
dalam	tokoh	0.38
dalam	pasukan	0.31
dalam	tenaga	0.32
dalam	kaum	0.32
dalam	istri	0.24
dalam	militer	0.32
dalam	karakter	0.35
dalam	pengunjung	0.25
dalam	gadis	0.26
dalam	penderita	0.33
dalam	suami	0.26
dalam	pembelajaran	0.45
dalam	calon	0.23
dalam	ayah	0.21
dalam	tamu	0.31
dalam	pelayanan	0.37
dalam	individu	0.4
dalam	remaja	0.29
dalam	umat	0.39
dalam	mantan	0.2
dalam	kehilangan	0.34
dalam	matahari	0.29
dalam	tipe	0.31
dalam	keturunan	0.26
dalam	burung	0.24
dalam	pemilik	0.31
dalam	korban	0.26
dalam	konsumen	0.31
dalam	putra	0.11
dalam	saudara	0.19
dalam	manajemen	0.38
dalam	agen	0.38
dalam	penyanyi	0.26
dalam	tentara	0.34
dalam	objek	0.37
dalam	generasi	0.32
dalam	karyawan	0.28
dalam	putri	0.09
dalam	umur	0.28
dalam	presiden	0.25
dalam	pajak	0.26
dalam	pelanggan	0.29
dalam	makhluk	0.34
dalam	kelahiran	0.27
dalam	ujung	0.41
dalam	pasien	0.28
dalam	kelapa	0.26
dalam	perdagangan	0.4
dalam	petani	0.25
dalam	polisi	0.27
dalam	luka	0.33
dalam	pekerja	0.35
dalam	kepercayaan	0.35
dalam	suhu	0.33
dalam	pemuda	0.32
dalam	sahabat	0.26
dalam	staf	0.18
dalam	radio	0.24
dalam	penumpang	0.22
dalam	pimpinan	0.33
dalam	kampung	0.31
dalam	pembaca	0.33
dalam	kekurangan	0.32
dalam	aktor	0.29
dalam	ulama	0.31
dalam	artis	0.25
dalam	pejabat	0.29
dalam	kontak	0.33
dalam	lelaki	0.24
dalam	murid	0.24
dalam	campuran	0.37
dalam	pelaku	0.41
dalam	peneliti	0.3
dalam	ketua	0.27
dalam	pengusaha	0.33
dalam	wakil	0.28
dalam	pegawai	0.3
dalam	pendukung	0.37
dalam	petunjuk	0.34
dalam	pemenang	0.31
dalam	musuh	0.28
dalam	adik	0.15
dalam	petugas	0.34
dalam	dewa	0.22
dalam	perbaikan	0.43
dalam	pelatih	0.24
dalam	pedagang	0.25
dalam	pelajar	0.29
dalam	biji	0.32
dalam	pengurus	0.28
dalam	jurusan	0.3
dalam	ilmuwan	0.28
dalam	kakak	0.16
dalam	pendiri	0.28
dalam	produsen	0.32
dalam	menteri	0.29
dalam	profesi	0.31
dalam	mitra	0.32
dalam	raksasa	0.25
dalam	angkatan	0.27
dalam	manajer	0.31
dalam	dosen	0.26
dalam	sasaran	0.34
dalam	pembuat	0.39
dalam	sutradara	0.21
dalam	buruh	0.27
dalam	penjual	0.28
dalam	pengganti	0.27
dalam	nenek	0.15
dalam	induk	0.29
dalam	rekan	0.3
dalam	perwakilan	0.23
dalam	lulusan	0.23
dalam	tetangga	0.21
dalam	kuasa	0.3
dalam	bandar	0.27
dalam	terapi	0.3
dalam	pembeli	0.29
dalam	malaikat	0.24
dalam	penerima	0.29
dalam	gubernur	0.19
dalam	prajurit	0.27
dalam	tukang	0.22
dalam	operator	0.27
dalam	pakar	0.37
dalam	wartawan	0.23
dalam	pacar	0.15
dalam	pergerakan	0.44
dalam	produser	0.25
dalam	senior	0.28
dalam	wali	0.2
dalam	saksi	0.25
dalam	kawan	0.29
dalam	hamba	0.25
dalam	obyek	0.37
dalam	pemegang	0.34
dalam	seniman	0.24
dalam	dewan	0.28
dalam	penyedia	0.36
dalam	penjaga	0.33
dalam	hakim	0.21
dalam	kaisar	0.19
dalam	pencari	0.27
dalam	famili	0.26
dalam	pahlawan	0.27
dalam	pembawa	0.29
dalam	undangan	0.26
dalam	cadangan	0.28
dalam	pemeran	0.32
dalam	investor	0.24
dalam	perwira	0.26
dalam	bangsawan	0.23
dalam	legenda	0.29
dalam	pembantu	0.33
dalam	pengarang	0.31
dalam	eksekutif	0.27
dalam	budak	0.24
dalam	mama	0.17
dalam	kerangka	0.44
dalam	pengelola	0.36
dalam	cucu	0.11
dalam	tambang	0.24
dalam	nelayan	0.2
dalam	hantu	0.16
dalam	atlet	0.24
dalam	isteri	0.23
dalam	pendeta	0.21
dalam	pejuang	0.3
dalam	tahanan	0.3
dalam	pengikut	0.3
dalam	direktur	0.22
dalam	rombongan	0.26
dalam	politikus	0.26
dalam	formasi	0.31
dalam	panitia	0.25
dalam	aktivis	0.29
dalam	jenderal	0.19
dalam	pengajar	0.29
dalam	pilot	0.18
dalam	kandidat	0.26
dalam	mayat	0.26
dalam	subjek	0.41
dalam	pendidik	0.28
dalam	wasit	0.15
dalam	balita	0.23
dalam	penghuni	0.33
dalam	pangeran	0.16
dalam	pengembang	0.35
dalam	asisten	0.2
dalam	responden	0.17
dalam	juru	0.26
dalam	jajaran	0.44
dalam	awak	0.22
dalam	distributor	0.21
dalam	kakek	0.14
dalam	pembuka	0.41
dalam	profesor	0.22
dalam	penari	0.24
dalam	pemberi	0.3
dalam	komandan	0.26
dalam	kerabat	0.25
dalam	pelayan	0.27
dalam	komunis	0.26
dalam	teroris	0.23
dalam	pendatang	0.21
dalam	arsitek	0.18
dalam	politisi	0.24
dalam	ratu	0.2
dalam	pembunuh	0.21
dalam	penyelenggara	0.35
dalam	turunan	0.27
dalam	pelukis	0.2
dalam	desainer	0.25
dalam	utusan	0.22
dalam	kapten	0.18
dalam	pembiayaan	0.34
dalam	pengacara	0.2
dalam	sekutu	0.25
dalam	alumni	0.21
dalam	perawat	0.25
dalam	penganut	0.33
dalam	sponsor	0.2
dalam	atasan	0.25
dalam	pengamat	0.34
dalam	vokalis	0.14
dalam	santri	0.21
