noun_w_orang_noaffix	noun_w_orang_affixed	cossim
dalam	pemain	0.35
dalam	penduduk	0.24
dalam	pengguna	0.31
dalam	wisatawan	0.17
dalam	penelitian	0.39
dalam	pasangan	0.32
dalam	penulis	0.36
dalam	pemimpin	0.4
dalam	peserta	0.38
dalam	pengunjung	0.25
dalam	penderita	0.33
dalam	pembelajaran	0.45
dalam	pelayanan	0.37
dalam	kehilangan	0.34
dalam	keturunan	0.26
dalam	pemilik	0.31
dalam	penyanyi	0.26
dalam	karyawan	0.28
dalam	pelanggan	0.29
dalam	kelahiran	0.27
dalam	perdagangan	0.4
dalam	petani	0.25
dalam	pekerja	0.35
dalam	kepercayaan	0.35
dalam	pemuda	0.32
dalam	penumpang	0.22
dalam	pimpinan	0.33
dalam	pembaca	0.33
dalam	kekurangan	0.32
dalam	pejabat	0.29
dalam	campuran	0.37
dalam	pelaku	0.41
dalam	peneliti	0.3
dalam	pengusaha	0.33
dalam	pendukung	0.37
dalam	petunjuk	0.34
dalam	pemenang	0.31
dalam	petugas	0.34
dalam	perbaikan	0.43
dalam	pelatih	0.24
dalam	pedagang	0.25
dalam	pelajar	0.29
dalam	pengurus	0.28
dalam	jurusan	0.3
dalam	ilmuwan	0.28
dalam	pendiri	0.28
dalam	angkatan	0.27
dalam	sasaran	0.34
dalam	pembuat	0.39
dalam	penjual	0.28
dalam	pengganti	0.27
dalam	perwakilan	0.23
dalam	lulusan	0.23
dalam	pembeli	0.29
dalam	penerima	0.29
dalam	pergerakan	0.44
dalam	pemegang	0.34
dalam	penyedia	0.36
dalam	penjaga	0.33
dalam	pencari	0.27
dalam	pembawa	0.29
dalam	undangan	0.26
dalam	cadangan	0.28
dalam	pemeran	0.32
dalam	bangsawan	0.23
dalam	pembantu	0.33
dalam	pengarang	0.31
dalam	pengelola	0.36
dalam	pejuang	0.3
dalam	tahanan	0.3
dalam	pengikut	0.3
dalam	rombongan	0.26
dalam	pengajar	0.29
dalam	pendidik	0.28
dalam	penghuni	0.33
dalam	pengembang	0.35
dalam	jajaran	0.44
dalam	pembuka	0.41
dalam	penari	0.24
dalam	pemberi	0.3
dalam	pelayan	0.27
dalam	pendatang	0.21
dalam	pembunuh	0.21
dalam	penyelenggara	0.35
dalam	turunan	0.27
dalam	pelukis	0.2
dalam	utusan	0.22
dalam	pembiayaan	0.34
dalam	pengacara	0.2
dalam	perawat	0.25
dalam	penganut	0.33
dalam	pengamat	0.34
dalam	penghubung	0.29
dalam	pesaing	0.27
dalam	pengawas	0.29
dalam	penjahat	0.29
dalam	pelaksana	0.37
dalam	kebangsaan	0.31
dalam	pembicara	0.29
dalam	pengantar	0.36
dalam	pendengar	0.26
dalam	pendamping	0.32
dalam	pewaris	0.24
dalam	pengungsi	0.2
dalam	pengendara	0.23
dalam	pencuri	0.24
dalam	pemburu	0.23
dalam	pengawal	0.32
dalam	penemu	0.24
dalam	pengemudi	0.24
dalam	penerjemah	0.25
dalam	pemandu	0.28
dalam	tawanan	0.26
dalam	penegak	0.31
dalam	penutur	0.21
dalam	penyihir	0.17
dalam	pelamar	0.18
dalam	pemasok	0.26
dalam	penanda	0.3
dalam	pemikir	0.31
dalam	saingan	0.24
dalam	pembimbing	0.26
dalam	petinggi	0.29
dalam	pelaut	0.18
dalam	pengrajin	0.25
dalam	langganan	0.2
dalam	pencinta	0.27
dalam	kenalan	0.21
dalam	penyidik	0.22
dalam	pelacur	0.24
dalam	pengirim	0.22
dalam	perusak	0.32
dalam	pendiam	0.22
dalam	pemeluk	0.27
dalam	penikmat	0.28
dalam	pemangku	0.26
dalam	perampok	0.19
dalam	pelarian	0.31
dalam	pengidap	0.24
dalam	penunjuk	0.28
dalam	pemuka	0.29
dalam	pengemis	0.19
dalam	pemusik	0.22
dalam	sukarelawan	0.27
dalam	penerbang	0.17
dalam	pejalan	0.22
dalam	petinju	0.21
dalam	penyandang	0.18
dalam	penanggung	0.28
dalam	penolong	0.25
dalam	jagoan	0.27
dalam	penembak	0.23
dalam	penipu	0.17
dalam	penyelamat	0.31
dalam	pendaftar	0.18
dalam	pelari	0.22
dalam	pengiring	0.29
dalam	penata	0.27
dalam	pengambil	0.36
dalam	penuntut	0.22
dalam	pembina	0.26
dalam	tanggungan	0.26
dalam	pencetus	0.28
dalam	pemangsa	0.21
dalam	penyebar	0.25
dalam	pemesan	0.26
dalam	dermawan	0.16
dalam	pemeriksa	0.25
dalam	negarawan	0.19
dalam	pengukur	0.27
dalam	penambang	0.2
dalam	pembajak	0.18
dalam	budayawan	0.12
dalam	perekam	0.3
dalam	penyayang	0.17
dalam	pemukul	0.2
dalam	perencana	0.31
dalam	pengumpul	0.21
dalam	wirausahawan	0.21
dalam	penangkap	0.18
dalam	penyelam	0.23
dalam	pemasar	0.28
dalam	pemalas	0.15
dalam	penarik	0.21
dalam	pengembara	0.32
dalam	gerilyawan	0.21
dalam	penggagas	0.25
dalam	penyembah	0.19
dalam	penilai	0.23
dalam	penguji	0.2
dalam	pengunjuk	0.18
dalam	penyembuh	0.29
dalam	rohaniwan	0.2
dalam	pemanah	0.23
dalam	penyelidik	0.28
dalam	penampil	0.33
dalam	peranakan	0.27
dalam	suruhan	0.15
dalam	usahawan	0.25
dalam	pelapor	0.2
dalam	pemahat	0.15
dalam	penunggu	0.2
dalam	penurut	0.26
dalam	pengusul	0.13
dalam	pemimpi	0.23
dalam	penyusup	0.26
dalam	pemungut	0.18
dalam	penceramah	0.18
dalam	penggarap	0.29
dalam	pelupa	0.17
dalam	perupa	0.24
dalam	penyendiri	0.23
dalam	pemateri	0.2
dalam	penggali	0.26
dalam	penukar	0.25
dalam	penyabar	0.2
dalam	pelempar	0.15
dalam	pemborong	0.2
dalam	pendemo	0.18
dalam	pencerita	0.24
dalam	penyelundup	0.1
dalam	penganggur	0.19
dalam	penggiling	0.32
dalam	pengulas	0.27
dalam	penagih	0.21
dalam	hartawan	0.2
dalam	perumus	0.3
dalam	peniup	0.14
dalam	penggalang	0.33
dalam	pembenci	0.2
dalam	pengkaji	0.32
dalam	pembebas	0.19
dalam	pemetik	0.19
dalam	penjilat	0.16
dalam	pencabut	0.25
dalam	peramah	0.17
dalam	pengukir	0.27
dalam	pengejar	0.23
dalam	pemerah	0.2
dalam	wiraswastawan	0.21
dalam	pemulia	0.23
dalam	penendang	0.27
dalam	penyimak	0.32
dalam	pelestari	0.28
dalam	penjemput	0.15
dalam	pembaru	0.38
dalam	penghayat	0.31
dalam	pengadu	0.17
dalam	pemasak	0.26
dalam	pembobol	0.25
dalam	penggemblengan	0.24
dalam	penghasut	0.2
dalam	penderma	0.21
dalam	pemaksa	0.19
dalam	peragu	0.19
dalam	pengekor	0.22
dalam	perayu	0.2
dalam	pendebat	0.26
dalam	penyuara	0.25
dalam	pemimpinan	0.33
dalam	penghadang	0.32
dalam	pengasah	0.35
