noun_w_orang_noaffix1	noun_w_orang_noaffix2	cossim
orang	sendiri	0.45
orang	diri	0.49
orang	manusia	0.55
orang	wanita	0.59
orang	anggota	0.59
orang	siswa	0.53
orang	pihak	0.54
orang	pria	0.56
orang	guru	0.52
orang	perempuan	0.58
orang	teman	0.61
orang	warga	0.62
orang	bayi	0.43
orang	mahasiswa	0.5
orang	dokter	0.43
orang	internet	0.36
orang	raja	0.44
orang	rakyat	0.5
orang	ahli	0.48
orang	tokoh	0.5
orang	tenaga	0.41
orang	kaum	0.56
orang	istri	0.5
orang	militer	0.33
orang	gadis	0.51
orang	dewasa	0.52
orang	suami	0.45
orang	calon	0.53
orang	asing	0.49
orang	ayah	0.45
orang	tamu	0.41
orang	remaja	0.49
orang	umat	0.56
orang	mantan	0.47
orang	publik	0.41
orang	korban	0.49
orang	konsumen	0.45
orang	putra	0.43
orang	saudara	0.51
orang	putri	0.4
orang	presiden	0.39
orang	makhluk	0.44
orang	pasien	0.5
orang	polisi	0.41
orang	sobat	0.35
orang	sahabat	0.52
orang	staf	0.31
orang	aktor	0.43
orang	ulama	0.48
orang	artis	0.46
orang	lawan	0.37
orang	kontak	0.35
orang	lelaki	0.58
orang	murid	0.57
orang	ketua	0.4
orang	wakil	0.47
orang	pegawai	0.51
orang	musuh	0.4
orang	adik	0.47
orang	dewa	0.35
orang	mas	0.2
orang	kakak	0.46
orang	produsen	0.36
orang	menteri	0.35
orang	mitra	0.36
orang	raksasa	0.27
orang	blogger	0.45
orang	manajer	0.4
orang	dosen	0.45
orang	sutradara	0.33
orang	buruh	0.38
orang	nenek	0.41
orang	induk	0.3
orang	rekan	0.51
orang	tetangga	0.47
orang	kuasa	0.32
orang	bandar	0.27
orang	malaikat	0.39
orang	gubernur	0.36
orang	prajurit	0.5
orang	admin	0.22
orang	tukang	0.33
orang	user	0.37
orang	operator	0.31
orang	pakar	0.44
orang	wartawan	0.42
orang	pacar	0.43
orang	produser	0.36
orang	senior	0.41
orang	wali	0.43
orang	saksi	0.4
orang	kawan	0.5
orang	hamba	0.45
orang	seniman	0.46
orang	musisi	0.45
orang	hakim	0.4
orang	kaisar	0.32
orang	famili	0.31
orang	pahlawan	0.39
orang	sarjana	0.42
orang	investor	0.43
orang	haji	0.3
orang	perwira	0.46
orang	eksekutif	0.38
orang	budak	0.42
orang	mama	0.32
orang	cucu	0.44
orang	bupati	0.34
orang	nelayan	0.39
orang	hantu	0.34
orang	atlet	0.45
orang	isteri	0.46
orang	leader	0.27
orang	pendeta	0.47
orang	direktur	0.29
orang	formasi	0.23
orang	panitia	0.31
orang	aktivis	0.42
orang	official	0.26
orang	jenderal	0.36
orang	kafir	0.43
orang	pilot	0.33
orang	kandidat	0.42
orang	mayat	0.41
orang	wasit	0.27
orang	balita	0.4
orang	pangeran	0.38
orang	asisten	0.31
orang	responden	0.42
orang	juru	0.26
orang	awak	0.41
orang	distributor	0.26
orang	kakek	0.42
orang	profesor	0.35
orang	komandan	0.37
orang	kerabat	0.51
orang	komunis	0.32
orang	teroris	0.36
orang	leluhur	0.39
orang	arsitek	0.34
orang	politisi	0.45
orang	ratu	0.27
orang	pribumi	0.5
orang	desainer	0.36
orang	kapten	0.31
orang	sekutu	0.36
orang	alumni	0.37
orang	sponsor	0.26
orang	master	0.25
orang	spesialis	0.32
orang	atasan	0.4
orang	santri	0.42
orang	sekretaris	0.3
orang	putera	0.36
orang	kritikus	0.39
orang	abang	0.31
orang	oknum	0.44
orang	konsultan	0.29
orang	player	0.26
orang	filsuf	0.41
orang	turis	0.48
orang	monster	0.24
orang	mahluk	0.41
orang	tante	0.22
orang	bidan	0.28
orang	rasul	0.37
orang	iblis	0.32
orang	janda	0.42
orang	jamaah	0.45
orang	fotografer	0.37
orang	elit	0.38
orang	kader	0.36
orang	waris	0.36
orang	insinyur	0.37
orang	subyek	0.39
orang	dukun	0.37
orang	audit	0.15
orang	kru	0.38
