dbase	n_items
09_cossim_full_buah_orang_affixed.tsv	99456
09_cossim_full_buah_orang_noaffixed.tsv	628488
09_cossim_full_buah_orang.tsv	1239240
09_cossim_full_ekor_buah_noaffixed.tsv	124236
09_cossim_full_ekor_buah.tsv	164220
09_cossim_full_ekor_orang_noaffixed.tsv	71638
09_cossim_full_ekor_orang.tsv	106862
10_cossim_full_only_buah_affix_affix.tsv	56280
10_cossim_full_only_buah_all_forms.tsv	951510
10_cossim_full_only_buah_noaffix_affix.tsv	350784
10_cossim_full_only_buah_noaffix_noaffix.tsv	544446
10_cossim_full_only_ekor_all_forms.tsv	7021
10_cossim_full_only_ekor_noaffix_noaffix.tsv	7021
10_cossim_full_only_orang_affix_affix.tsv	43660
10_cossim_full_only_orang_all_forms.tsv	402753
10_cossim_full_only_orang_noaffix_affix.tsv	178192
10_cossim_full_only_orang_noaffix_noaffix.tsv	180901
